#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1895C
#Date Time: 2017-05-13 21:02::09.032

Time (s),Channel 1 (V),Channel 2 (V)
-0.005118928571428572,-0.89797255962307088,-0.18842254564576527
-0.0051176785714285716,-0.86134231139844253,-0.033527082678533326
-0.0051164285714285712,-0.86467233396431631,-0.070567302083760969
-0.0051151785714285717,-0.86134231139844253,-0.11434210683535007
-0.0051139285714285714,-0.83137210830556474,-0.050363546044536744
-0.0051126785714285718,-0.84136217600319085,-0.10760752148894853
-0.0051114285714285715,-0.80140190521268728,-0.067200009410540162
-0.0051101785714285719,-0.82138204060792974,-0.026792497332150444
-0.0051089285714285716,-0.79474186008093639,-0.18842254564576527
-0.0051076785714285712,-0.78808181494918739,0.084328160883334682
-0.0051064285714285717,-0.79141183751506117,-0.25913569178297957
-0.0051051785714285713,-0.75811161185631581,0.10116462424934423
-0.0051039285714285718,-0.77476172468568472,-0.22883005772417336
-0.0051026785714285714,-0.7414614990269317,0.030451478112279717
-0.0051014285714285719,-0.75478158929043304,-0.14464774089415627
-0.0051001785714285715,-0.72814140876343059,-0.043628960698135488
-0.005098928571428572,-0.71815134106580925,-0.046996253371334583
-0.0050976785714285716,-0.72148136363167992,-0.1480150335673569
-0.0050964285714285712,-0.68485111540705912,-0.036894375351755396
-0.0050951785714285717,-0.70150122823642802,-0.08403647277654358
-0.0050939285714285713,-0.66154095744592889,-0.11770939950849098
-0.0050926785714285718,-0.67153102514355045,0.013615014746276299
-0.0050914285714285714,-0.65488091231417389,-0.21199359435816995
-0.0050901785714285719,-0.63490077691893121,0.080960868210157022
-0.0050889285714285715,-0.63823079948479744,-0.24566652109017678
-0.005087678571428572,-0.60160055126018575,0.091062746229739033
-0.0050864285714285716,-0.62158068665542099,-0.21536088703137057
-0.0050851785714285712,-0.5849504384307942,0.00014584405342910273
-0.0050839285714285717,-0.58828046099666798,-0.09750564346934637
-0.0050826785714285713,-0.57829039329904219,-0.08403647277654358
-0.0050814285714285718,-0.55498023533791496,-0.053730838717737373
-0.0050801785714285714,-0.56164028046966541,-0.094138350796145742
-0.0050789285714285719,-0.5283400548109275,-0.057098131390955119
-0.0050776785714285715,-0.54166014507441385,-0.043628960698135488
-0.005076428571428572,-0.5116899419815496,-0.1648514969333052
-0.0050751785714285716,-0.51168994198153595,0.074226282863888715
-0.0050739285714285712,-0.50169987428389806,-0.25576839910961358
-0.0050726785714285717,-0.47505969375690793,0.10789920959589583
-0.0050714285714285713,-0.49170980658628405,-0.25240110643657832
-0.0050701785714285718,-0.4517495357957807,0.054022526824684669
-0.0050689285714285715,-0.46506962605928182,-0.17832066762616311
-0.0050676785714285719,-0.43176940040054418,-0.013323326639404304
-0.0050664285714285716,-0.42177933270290291,-0.080669180103342952
-0.0050651785714285712,-0.42177933270288775,-0.12781127752810817
-0.0050639285714285717,-0.38847910704415012,-0.030159790005332698
-0.0050626785714285713,-0.40179919730763308,-0.10424022881574331
-0.0050614285714285718,-0.36183892651714733,-0.094138350796145742
-0.0050601785714285714,-0.37515901678064845,-0.01332332663932928
-0.0050589285714285719,-0.34851883625364621,-0.19515713099216653
-0.0050576785714285715,-0.34185879112189566,0.074226282863888715
-0.005056428571428572,-0.33852876855602215,-0.24229922841683221
-0.0050551785714285716,-0.30189852033139231,0.11126650226909646
-0.0050539285714285712,-0.32520867829250233,-0.25576839910963961
-0.0050526785714285717,-0.28857843006789063,0.050655234151484041
-0.0050514285714285713,-0.29856849776550615,-0.14128044822091557
-0.0050501785714285718,-0.27525833980438952,-0.053730838717737373
-0.0050489285714285714,-0.2586082269750134,-0.077301887430142324
-0.0050476785714285719,-0.26859829467263441,-0.090771058122938994
-0.0050464285714285715,-0.22530800131626005,-0.057098131390938278
-0.005045178571428572,-0.23529806901388162,-0.060465424064137373
-0.0050439285714285716,-0.20199784335513282,-0.13791315554775474
-0.0050426785714285712,-0.21198791105275136,0.050655234151349288
-0.0050414285714285717,-0.19533779822338226,-0.24566652109017678
-0.0050401785714285713,-0.16869761769638003,0.11126650226909646
-0.0050389285714285718,-0.18201770795988115,-0.25913569178297957
-0.0050376785714285714,-0.1453874597352528,0.074226282863888715
-0.0050364285714285719,-0.15537752743287436,-0.19515713099204401
-0.0050351785714285715,-0.11541725664237501,0.016982307419476927
-0.005033928571428572,-0.11541725664237501,-0.097505643469294301
-0.0050326785714285716,-0.10875721151062445,-0.11097481416214916
-0.0050314285714285712,-0.08211703098362827,-0.033527082678563955
-0.0050301785714285717,-0.095437121247123335,-0.10087293614254728
-0.0050289285714285713,-0.055476850456619986,-0.090771058122945114
-0.0050276785714285718,-0.065466918154245546,-0.01332332663932928
-0.0050264285714285714,-0.04215676019311887,-0.18842254564576527
-0.0050251785714285719,-0.0321666924954973,0.077593575536968662
-0.0050239285714285715,-0.032166692495492755,-0.24903381376337769
-0.0050226785714285712,0.0077935782949984803,0.12473567296171703
-0.0050214285714285717,-0.018846602231991638,-0.27597215514898299
-0.0050201785714285713,0.027773713690258283,0.067491697517381807
-0.0050189285714285718,0.01778364599263671,-0.16485149693336032
-0.0050176785714285714,0.047753849085514499,-0.036894375351733955
-0.0050164285714285719,0.057743916783140614,-0.094138350796145742
-0.0050151785714285715,0.057743916783140614,-0.08403647277654358
-0.005013928571428572,0.087714119876004221,-0.063832716737348721
-0.0050126785714285716,0.074394029612516732,-0.060465424064138906
-0.0050114285714285712,0.1143543004030161,-0.12781127752807908
-0.0050101785714285717,0.10436423270539452,0.033818770785480623
-0.0050089285714285713,0.12434436810065529,-0.23219735039721809
-0.0050076785714285718,0.14432450349589787,0.11126650226909646
-0.0050064285714285714,0.14099448093002287,-0.26587027712938111
-0.0050051785714285719,0.1643046388911501,0.091062746229892133
-0.0050039285714285715,0.16097461632527454,-0.22209547237777211
-0.005002678571428572,0.19427484198401274,0.043920648804961548
-0.0050014285714285716,0.19427484198402789,-0.13117857020135348
-0.0050001785714285712,0.20093488711579208,-0.080669180103326105
-0.0049989285714285717,0.23090509020865568,-0.043628960698135488
-0.0049976785714285713,0.21758499994515457,-0.1042402288157479
-0.0049964285714285718,0.25754527073565847,-0.077301887430142324
-0.0049951785714285714,0.2408951579062818,-0.030159790005332698
-0.0049939285714285719,0.27419538356501943,-0.17158608227969727
-0.0049926785714285715,0.2808554286967857,0.064124404844286831
-0.004991428571428572,0.29084549639440671,-0.23893193574363769
-0.0049901785714285716,0.31415565435553849,0.13483755098150113
-0.0049889285714285712,0.29417551896030952,-0.2894413258416097
-0.0049876785714285717,0.34412585744841628,0.097797331576293667
-0.0049864285714285713,0.32747574461903961,-0.19515713099216653
-0.0049851785714285718,0.35411592514604184,-0.0065887412929277467
-0.0049839285714285714,0.3607759702777924,-0.11770939950855069
-0.0049826785714285719,0.37076603797541396,-0.073934594756961597
-0.0049814285714285715,0.40073624106829631,2.3269450812351518
-0.0049801785714285712,0.3974062185024389,1.7140978147128705
-0.0049789285714285716,0.43736648929292465,2.2528646424247363
-0.0049776785714285713,0.41738635389768358,1.7848109608500069
-0.0049764285714285717,0.44069651185879966,2.1518458622287158
-0.0049751785714285714,0.45068657955642577,1.8824624483726602
-0.0049739285714285719,0.45734662468817633,2.1249075208431103
-0.0049726785714285715,0.48731682778105412,1.8925643263922622
-0.004971428571428572,0.47399673751755905,2.1720496182677924
-0.0049701785714285716,0.50729696317630579,1.8555241069870545
-0.0049689285714285712,0.50396694061043534,2.2663338131172925
-0.0049676785714285717,0.51395700830805635,1.7241996927322276
-0.0049664285714285713,0.54059718883505459,2.3437815446008581
-0.0049651785714285718,0.53060712113743302,1.6905267660002208
-0.0049639285714285714,0.56723736936206137,2.3067413251959472
-0.0049626785714285719,0.55391727909856026,1.7511380341178331
-0.0049614285714285715,0.58055745962556249,2.2225590083659301
-0.004960178571428572,0.58055745962556249,1.8454222289676241
-0.0049589285714285716,0.59720757245493916,2.1754169109411201
-0.0049576785714285712,0.62384775298193229,1.9296045457975539
-0.0049564285714285717,0.60386761758668972,2.1148056428235078
-0.0049551785714285713,0.64382788837719307,1.916135375104667
-0.0049539285714285718,0.63383782067956751,2.2090898376731269
-0.0049526785714285714,0.66380802377244474,1.8151165949086461
-0.0049514285714285719,0.65714797864069718,2.289904861829728
-0.0049501785714285715,0.67046806890419586,1.741036156098231
-0.004948928571428572,0.69710824943118599,2.3471488372740796
-0.0049476785714285716,0.68711818173357198,1.7343015707518297
-0.0049464285714285712,0.72707845252406678,2.3168432032153126
-0.0049451785714285717,0.70709831712882365,1.7949128388694422
-0.0049439285714285713,0.73706852022170144,2.2191917156927294
-0.0049426785714285718,0.73706852022170144,1.9094007897582657
-0.0049414285714285714,0.743728565353452,2.1619477402483178
-0.0049401785714285719,0.76703872331456868,1.9296045457975755
-0.0049389285714285715,0.75371863305107811,2.1821514962875215
-0.004937678571428572,0.79367890384156325,1.9026662044119913
-0.0049364285714285716,0.7836888361439559,2.2528646424247363
-0.0049351785714285713,0.80699899410508769,1.7881782535233011
-0.0049339285714285717,0.81698906180270869,2.3606180079671586
-0.0049326785714285714,0.82031908436858425,1.7275669854054283
-0.0049314285714285718,0.85028928746146204,2.3639853006403588
-0.0049301785714285715,0.83030915206620981,1.7713417901570372
-0.004928928571428572,0.8669394002908215,2.289904861829708
-0.0049276785714285716,0.8602793551590876,1.8689932776798575
-0.0049264285714285712,0.88025949055434538,2.2326608863854047
-0.0049251785714285717,0.89357958081784095,1.9531755945098748
-0.0049239285714285713,0.88358951312022993,2.141743984209032
-0.0049226785714285718,0.91688973877896762,1.9632774725294766
-0.0049214285714285714,0.9002396259495915,2.2124571303463281
-0.0049201785714285719,0.9335398516083443,1.8689932776798575
-0.0049189285714285715,0.93020982904246874,2.3067413251959472
-0.004917678571428572,0.9401998967400903,0.95645696324308394
-0.0049164285714285716,0.95351998700359597,-0.036894375351733955
-0.0049151785714285712,0.94685994187186207,0.0068804293998566681
-0.0049139285714285717,0.98349019009647376,-0.033527082678533326
-0.0049126785714285713,0.96351005470123574,0.054022526824605045
-0.0049114285714285718,0.99348025779409987,-0.12107669218175132
-0.0049101785714285714,0.99348025779409987,0.16851047771350824
-0.0049089285714285719,1.003470325491721,-0.20862630168479779
-0.0049076785714285715,1.0234504608869777,0.18871423375271229
-0.004906428571428572,1.0068003480576087,-0.22209547237758531
-0.0049051785714285716,1.0434305962822292,0.1752450630599095
-0.0049039285714285712,1.0267804834528662,-0.1547496189136571
-0.0049026785714285717,1.0567506865457306,0.067491697517487459
-0.0049014285714285713,1.0534206639798549,-0.043628960698135488
-0.0049001785714285718,1.0567506865457306,-0.0099560339661283748
-0.0048989285714285714,1.0867208896386082,-0.01332332663932928
