#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1895C
#Date Time: 2017-05-13 21:07::22.037

Time (s),Channel 1 (V),Channel 2 (V)
-0.0050128409090909095,0.097704187573643964,-0.23219735039737427
-0.0050115909090909091,0.10436423270539603,-0.23556464307057184
-0.0050103409090909096,0.10769425527127008,-0.22883005772417336
-0.0050090909090909092,0.13766445836414126,-0.24229922841697155
-0.0050078409090909097,0.1243443681006462,-0.23219735039737427
-0.0050065909090909093,0.1643046388911501,-0.2355646430705749
-0.0050053409090909098,0.15431457119352399,-0.2355646430705749
-0.0050040909090909094,0.18428477428640178,-0.2355646430705749
-0.0050028409090909099,0.19094481941814931,-0.238931935743774
-0.0050015909090909095,0.19427484198402789,-0.23219735039737427
-0.0050003409090909091,0.22091502251102255,-0.23893193574377247
-0.0049990909090909096,0.20426490968165345,-0.23219735039737427
-0.0049978409090909092,0.24755520303803236,-0.23893193574377553
-0.0049965909090909097,0.2375651353404068,-0.2355646430705749
-0.0049953409090909093,0.27086536099915959,-0.2355646430705749
-0.0049940909090909098,0.27086536099915959,-0.238931935743774
-0.0049928409090909094,0.2808554286967857,-0.22883005772417336
-0.0049915909090909099,0.31082563178964928,-0.23893193574377092
-0.0049903409090909095,0.29084549639441126,-0.22883005772417336
-0.0049890909090909092,0.33413578975078412,-0.2355646430705749
-0.0049878409090909097,0.32081569948728905,-0.2355646430705749
-0.0049865909090909093,0.35078590258016684,-0.2355646430705749
-0.0049853409090909098,0.3574459477119174,-0.2355646430705749
-0.0049840909090909094,0.3607759702777924,-0.23219735039737427
-0.0049828409090909099,0.39074617337065654,-0.24229922841697155
-0.0049815909090909095,0.38075610567304463,-0.23893193574377553
-0.0049803409090909091,0.42071637646354043,-0.24566652109017217
-0.0049790909090909096,0.40406626363417131,-0.2355646430705749
-0.0049778409090909092,0.43736648929292465,-0.23893193574377858
-0.0049765909090909097,0.43736648929292465,-0.24566652109017678
-0.0049753409090909093,0.44735655699055021,-0.2355646430705749
-0.0049740909090909098,0.47066671495167745,-0.24566652109017678
-0.0049728409090909094,0.46067664725405189,-0.23893193574377553
-0.0049715909090909099,0.49064685034691546,-0.24229922841697463
-0.0049703409090909095,0.49064685034692912,-0.23893193574377553
-0.0049690909090909091,0.52061705343980391,-0.23893193574377858
-0.0049678409090909096,0.51395700830805635,-0.24566652109017678
-0.0049665909090909092,0.52394707600569457,-0.23556464307057795
-0.0049653409090909097,0.5505872565326847,-0.24229922841697615
-0.0049640909090909093,0.54059718883505914,-0.23219735039737427
-0.0049628409090909098,0.57056739192793637,-0.24229922841697615
-0.0049615909090909094,0.56390734679618582,-0.24229922841697615
-0.0049603409090909099,0.59387754988904995,-0.23893193574377705
-0.0049590909090909095,0.59720757245493916,-0.24229922841697615
-0.0049578409090909091,0.60386761758670027,-0.2321973503973804
-0.0049565909090909096,0.62717777554781695,-0.24566652109017678
-0.0049553409090909092,0.61718770785019084,-0.2355646430705749
-0.0049540909090909097,0.65381795607481918,-0.23893193574377553
-0.0049528409090909093,0.64715791094306863,-0.23893193574377553
-0.0049515909090909098,0.6671380463383112,-0.23556464307057642
-0.0049503409090909094,0.68045813660182142,2.5660228610324003
-0.0049490909090909099,0.69377822686531643,4.2362000269391844
-0.0049478409090909095,0.72374842995820032,4.2193635635739399
-0.0049465909090909092,0.7037682945629683,4.2193635635739355
-0.0049453409090909096,0.74705858791932755,4.2092616855543383
-0.0049440909090909093,0.73040847508995088,4.2159962709007388
-0.0049428409090909097,0.75704865561695311,4.2159962709007388
-0.0049415909090909094,0.76370870074870423,4.2159962709007388
-0.0049403409090909099,0.76370870074870423,4.2260981489203369
-0.0049390909090909095,0.79034888127570646,4.2159962709007388
-0.00493784090909091,0.7836888361439589,4.2260981489203369
-0.0049365909090909096,0.82031908436858425,4.2227308562471411
-0.0049353409090909092,0.80033894897334568,4.2294654415935415
-0.0049340909090909097,0.83030915206620981,4.2294654415935415
-0.0049328409090909093,0.83030915206620981,4.2294654415935415
-0.0049315909090909098,0.83696919719796037,4.2328327342667427
-0.0049303409090909094,0.8602793551590876,4.239567319613144
-0.0049290909090909099,0.85028928746146659,4.2463019049595427
