Designator	navn	beskrivelse	pris
"J51021"	"JST 2pin"	"pris pr. stk."	"2"
"J51015"	"JST 2pin"	"pris pr. stk."	"2"
"J53006"	"JST 2pin"	""	"2"
"J51014"	"JST 2pin"	"pris pr. stk."	"2"
"J51013"	"JST 2pin"	"pris pr. stk."	"2"
"J51012"	"JST 2pin"	"pris pr. stk."	"2"
"J51006"	"JST 2pin"	""	"2"
"J51026"	"JST 2pin"	"pris pr. stk."	"2"
"J51203"	"JST 2pin"	""	"2"
"J51407"	"JST 2pin"	""	"2"
"J53008"	"JST 2pin"	""	"2"
"Q53005"	"IRLML6402"	"P-ch. MOSFET. -30V, -3.7A continuous,RDS(ON)=0.05Ohm@VGS=-4,5V, RDS(ON)=0.08Ohm@VGS=-2.5V"	"3"
"Q53004"	"IRLML6402"	"P-ch. MOSFET. -30V, -3.7A continuous,RDS(ON)=0.05Ohm@VGS=-4,5V, RDS(ON)=0.08Ohm@VGS=-2.5V"	"3"
"Q53003"	"IRLML6402"	"P-ch. MOSFET. -30V, -3.7A continuous,RDS(ON)=0.05Ohm@VGS=-4,5V, RDS(ON)=0.08Ohm@VGS=-2.5V"	"3"
"Q51011"	"IRLML6402"	"P-ch. MOSFET. -30V, -3.7A continuous,RDS(ON)=0.05Ohm@VGS=-4,5V, RDS(ON)=0.08Ohm@VGS=-2.5V"	"3"
"Q51010"	"IRLML6402"	"P-ch. MOSFET. -30V, -3.7A continuous,RDS(ON)=0.05Ohm@VGS=-4,5V, RDS(ON)=0.08Ohm@VGS=-2.5V"	"3"
"Q51009"	"IRLML6402"	"P-ch. MOSFET. -30V, -3.7A continuous,RDS(ON)=0.05Ohm@VGS=-4,5V, RDS(ON)=0.08Ohm@VGS=-2.5V"	"3"
"Q51005"	"IRLML6402"	"P-ch. MOSFET. -30V, -3.7A continuous,RDS(ON)=0.05Ohm@VGS=-4,5V, RDS(ON)=0.08Ohm@VGS=-2.5V"	"3"
"Q51004"	"IRLML6402"	"P-ch. MOSFET. -30V, -3.7A continuous,RDS(ON)=0.05Ohm@VGS=-4,5V, RDS(ON)=0.08Ohm@VGS=-2.5V"	"3"
"Q51003"	"IRLML6402"	"P-ch. MOSFET. -30V, -3.7A continuous,RDS(ON)=0.05Ohm@VGS=-4,5V, RDS(ON)=0.08Ohm@VGS=-2.5V"	"3"
"J51101_TK511_2"	"Header Shrouded 2X17P"	""	"10"
"J51027"	"Header Shrouded 2X17P"	""	"10"
"J50206"	"Header Shrouded 2X17P"	""	"10"
"J51101_TK511"	"Header Shrouded 2X17P"	""	"10"
"J51019"	"Header Shrouded 2X5P"	"Header"	"5"
"J51018"	"Header Shrouded 2X5P"	"Header"	"5"
"J53007"	"Header Shrouded 2X5P"	""	"5"
"J51011"	"Header Shrouded 2X5P"	"Header"	"5"
"J51010"	"Header Shrouded 2X5P"	"Header"	"5"
"J51009"	"Header Shrouded 2X5P"	"Header"	"5"
"J51020"	"Header Shrouded 2X5P"	"Header"	"5"
"J51106_TK511_2"	"Header 1x3"	""	"2"
"J51106_TK511"	"Header 1x3"	""	"2"
"J51105_TK511_2"	"Header 1x3"	""	"2"
"J51104_TK511"	"Header 1x3"	""	"2"
"J51105_TK511"	"Header 1x3"	""	"2"
"J51103_TK511_2"	"Header 1x3"	""	"2"
"J51104_TK511_2"	"Header 1x3"	""	"2"
"J51103_TK511"	"Header 1x3"	""	"2"
"J51102_TK511_2"	"Header 1x3"	""	"2"
"J51102_TK511"	"Header 1x3"	""	"2"
"D50212"	"Grønn LED 5mm"	"LED, Green, 5mm, 572 nm, 2.1 V, 20 mA, 150 mcd"	"3"
"D50211"	"Grønn LED 5mm"	"LED, Green, 5mm, 572 nm, 2.1 V, 20 mA, 150 mcd"	"3"
"D50209"	"Grønn LED 5mm"	"LED, Green, 5mm, 572 nm, 2.1 V, 20 mA, 150 mcd"	"3"
"D50208"	"Grønn LED 5mm"	"LED, Green, 5mm, 572 nm, 2.1 V, 20 mA, 150 mcd"	"3"
"D50206"	"Grønn LED 5mm"	"LED, Green, 5mm, 572 nm, 2.1 V, 20 mA, 150 mcd"	"3"
"D50205"	"Grønn LED 5mm"	"LED, Green, 5mm, 572 nm, 2.1 V, 20 mA, 150 mcd"	"3"
"D50203"	"Grønn LED 5mm"	"LED, Green, 5mm, 572 nm, 2.1 V, 20 mA, 150 mcd"	"3"
"D50202"	"Grønn LED 5mm"	"LED, Green, 5mm, 572 nm, 2.1 V, 20 mA, 150 mcd"	"3"
"D50200"	"Grønn LED 5mm"	"LED, Green, 5mm, 572 nm, 2.1 V, 20 mA, 150 mcd"	"3"
"D50217"	"Grønn LED 5mm"	"LED, Green, 5mm, 572 nm, 2.1 V, 20 mA, 150 mcd"	"3"
"D50215"	"Grønn LED 5mm"	"LED, Green, 5mm, 572 nm, 2.1 V, 20 mA, 150 mcd"	"3"
"D50214"	"Grønn LED 5mm"	"LED, Green, 5mm, 572 nm, 2.1 V, 20 mA, 150 mcd"	"3"
"U51200"	"GP1FAV50RK"	""	"12"
"D52500"	"GBJ2504"	""	"15"
"Q53101_TK531_2"	"G4PC50W"	""	"77"
"Q53101_TK531_1"	"G4PC50W"	""	"77"
"Q53100_TK531_2"	"G4PC50W"	""	"77"
"Q53100_TK531_1"	"G4PC50W"	""	"77"
"F52500"	"Automatsikring"	""	"0"
"S52512"	"Automasjonsbryter"	""	"0"
"S52504"	"Automasjonsbryter"	""	"0"
"S52503"	"Automasjonsbryter"	""	"0"
"S52502"	"Automasjonsbryter"	""	"0"
"S52501"	"Automasjonsbryter"	""	"0"
"S52500"	"Automasjonsbryter"	""	"0"
"R50223"	"330R"	""	"0"
"R50222"	"330R"	""	"0"
"R50221"	"330R"	""	"0"
"R50220"	"330R"	""	"0"
"R50219"	"330R"	""	"0"
"R50218"	"330R"	""	"0"
"R50215"	"330R"	""	"0"
"R50214"	"330R"	""	"0"
"R50213"	"330R"	""	"0"
"R50212"	"330R"	""	"0"
"R50211"	"330R"	""	"0"
"R50210"	"330R"	""	"0"
"R50207"	"330R"	""	"0"
"R50206"	"330R"	""	"0"
"R50205"	"330R"	""	"0"
"R50204"	"330R"	""	"0"
"R50203"	"330R"	""	"0"
"R50202"	"330R"	""	"0"
"R51200"	"300R"	""	"0"
"R52500"	"100 ohm"	""	"0"
"R1"	"100 ohm"	""	"0"
"C53000"	"100nF"	""	"1"
"R53006"	"100k"	""	"0"
"R53002"	"100k"	"100k 0.1W 5% Thick film resistor"	"0"
